DOI,type_of_synthesis,precursor_1,precursor_2,precursor_3,reagent,precursor_1_g,precursor_2_g,precursor_3_g,reagent_mL,power_W,temperature_°C,time_h,Abs_red_max_nm,Exc_red_max_nm,FL_red_max_nm,QY_red_%,molar_concentration_precursor_1,molar_concentration_precursor_2,molar_concentration_precursor_3
10.1002/adma.201702910,ST,1_3-Dihydroxynaphthalene,KIO4,,ethanol,0.01,0.04,,10,,180,1,530,540,628,53,0.00625,0.017391304,
10.1038/ncomms5596,HT,Polythiophene,,,NAOH/water,0.03,,,40,,170,24,490,500,680,5.4,0.008928571,,
10.1002/adma.201705913,ST,CA,urea,,DMF,2,4,,20,,160,6,715,732,760,10,0.520833333,3.333333333,
10.1002/adma.201705913,ST,CA,urea,,DMF,2,4,,20,,160,6,619,561,640,26,0.520833333,3.333333333,
10.1021/acsami.7b16991,HT,CA,neutral red,,water,1.50,0.0021,,5,,180,4,530,610,632,12.1,1.5625,0.001453287,
10.1021/acsami.8b03529,HT,CA,5-amino-1_10- phenanthroline,,water,1.35,0.15,,15,,200,7,450,560,630,67,0.46875,0.051282051,
10.1038/s41551-020-0540-y,HT,CA,1_4_5_8-tetraminoanthraquinone,,water,0.04,0.03,,10,,180,2,650,600,700,6.8,0.020833333,0.01119403,
10.1002/smll.201800612,ST,l-glutamic acid,o-phenylenediamine,,H2SO4/water,0.11,0.16,,25,,210,10,634,600,715,43,0.029931973,0.059259259,
10.1002/smll.201901673,HT,p-phenylenediamine,o-phenylenediamine,dopamine,HCI/water,0.2,1,2,50,,200,16,560,573,640,25,0.037037037,0.185185185,0.261437908
10.1039/d0tc02597f,ST,CA,urea,,DMF,3,6,,30,,160,6,550,580,629,10.6,0.520833333,3.333333333,
10.1021/acs.jpclett.9b01848,ST,CA,urea,,DMF,2,4,,20,,160,4,525,550,630,,0.520833333,3.333333333,
10.1002/anie.202007786,ST,CA,PEI,,formamide,7.50,4.70,,150,,160,4,540,550,635,,0.260416667,0.220657277,
10.1021/acsabm.8b00029,HT,CA,Tetraamino porphyrin,,water,1,0.1,,20,,200,3,670,440,750,8.54,0.260416667,0.007407407,
10.1016/j.saa.2020.118230,ST,CA,acrylamide,,formamide,1,2,,10,,200,4,550,560,644,,0.520833333,2.816901408,
10.1126/sciadv.abb6772,ST,terephthalic acid,o-phenylenediamine,,ethanol,0.1,0.1,,10,,180,12,628,600,665,47,0.060240964,0.092592593,
10.1126/sciadv.abb6773,ST,terephthalic acid,o-phenylenediamine,,ethanol,0.2,0.1,,10,,180,12,650,640,700,52,0.120481928,0.092592593,
